Year,Borough,CapRate,NYCcr
2012.52,MNcr,6.85,6.717499999999999
2012.52,BXcr,7.64,6.717499999999999
2012.52,BKcr,6.45,6.717499999999999
2010.92,QNcr,5.93,6.717499999999999
2010.92,MNcr,6.85,6.717499999999999
2010.92,BXcr,7.64,6.717499999999999
2010.92,BKcr,6.45,6.717499999999999
2012.48,QNcr,5.93,6.717499999999999
2012.48,MNcr,6.85,6.717499999999999
2012.48,BXcr,7.64,6.717499999999999
2012.48,BKcr,6.45,6.717499999999999
2012.75,QNcr,5.76,6.637499999999999
2012.75,MNcr,6.93,6.637499999999999
2012.75,BXcr,7.56,6.637499999999999
2012.75,BKcr,6.3,6.637499999999999
2011.15,QNcr,5.76,6.637499999999999
2011.15,MNcr,6.93,6.637499999999999
2011.15,BXcr,7.56,6.637499999999999
2011.15,BKcr,6.3,6.637499999999999
2012.71,QNcr,5.76,6.637499999999999
2012.71,MNcr,6.93,6.637499999999999
2012.71,BXcr,7.56,6.637499999999999
2012.71,BKcr,6.3,6.637499999999999
2012.68,QNcr,5.76,6.637499999999999
2012.68,MNcr,6.93,6.637499999999999
2012.68,BXcr,7.56,6.637499999999999
2012.68,BKcr,6.3,6.637499999999999
2012.96,QNcr,5.58,6.5200000000000005
2012.96,MNcr,6.94,6.5200000000000005
2012.96,BXcr,7.44,6.5200000000000005
2012.96,BKcr,6.12,6.5200000000000005
2011.37,QNcr,5.58,6.5200000000000005
2011.37,MNcr,6.94,6.5200000000000005
2011.37,BXcr,7.44,6.5200000000000005
2011.37,BKcr,6.12,6.5200000000000005
2012.94,QNcr,5.58,6.5200000000000005
2012.94,MNcr,6.94,6.5200000000000005
2012.94,BXcr,7.44,6.5200000000000005
2012.94,BKcr,6.12,6.5200000000000005
2012.87,QNcr,5.58,6.5200000000000005
2012.87,MNcr,6.94,6.5200000000000005
2012.87,BXcr,7.44,6.5200000000000005
2012.87,BKcr,6.12,6.5200000000000005
2013.17,QNcr,5.39,6.3774999999999995
2013.17,MNcr,6.9,6.3774999999999995
2013.17,BXcr,7.3,6.3774999999999995
2013.17,BKcr,5.92,6.3774999999999995
2011.6,QNcr,5.39,6.3774999999999995
2011.6,MNcr,6.9,6.3774999999999995
2011.6,BXcr,7.3,6.3774999999999995
2011.6,BKcr,5.92,6.3774999999999995
2013.16,QNcr,5.39,6.3774999999999995
2013.16,MNcr,6.9,6.3774999999999995
2013.16,BXcr,7.3,6.3774999999999995
2013.16,BKcr,5.92,6.3774999999999995
2013.05,QNcr,5.39,6.3774999999999995
2013.05,MNcr,6.9,6.3774999999999995
2013.05,BXcr,7.3,6.3774999999999995
2013.05,BKcr,5.92,6.3774999999999995
2013.37,QNcr,5.21,6.2275
2013.37,MNcr,6.82,6.2275
2013.37,BXcr,7.14,6.2275
2013.37,BKcr,5.74,6.2275
2011.82,QNcr,5.21,6.2275
2011.82,MNcr,6.82,6.2275
2011.82,BXcr,7.14,6.2275
2011.82,BKcr,5.74,6.2275
2013.39,QNcr,5.21,6.2275
2013.39,MNcr,6.82,6.2275
2013.39,BXcr,7.14,6.2275
2013.39,BKcr,5.74,6.2275
2013.26,QNcr,5.21,5.5875
2013.26,MNcr,6.82,5.5875
2013.26,BXcr,7.14,5.5875
2013.26,BKcr,5.74,5.5875
2013.57,QNcr,5.08,6.0725
2013.57,MNcr,6.69,6.0725
2013.57,BXcr,6.96,6.0725
2013.57,BKcr,5.56,6.0725
2012.05,QNcr,5.08,6.0725
2012.05,MNcr,6.69,6.0725
2012.05,BXcr,6.96,6.0725
2012.05,BKcr,5.56,6.0725
2013.6,QNcr,5.08,6.0725
2013.6,MNcr,6.69,6.0725
2013.6,BXcr,6.96,6.0725
2013.6,BKcr,5.56,6.0725
